LotArea,Style,YearBuilt,SqFt,FullBath,HalfBath,Bedrooms,Rooms,SalePrice
31770,1Story,1960,1656,1,0,3,7,215000
11622,1Story,1961,896,1,0,2,5,105000
14267,1Story,1958,1329,1,1,3,6,172000
11160,1Story,1968,2110,2,1,3,8,244000
13830,2Story,1997,1629,2,1,3,6,189900
9978,2Story,1998,1604,2,1,3,7,195500
7500,2Story,1999,1804,2,1,3,7,189000
10000,2Story,1993,1655,2,1,3,7,175900
7980,1Story,1992,1187,2,0,3,6,185000
8402,2Story,1998,1465,2,1,3,7,180400
10176,1Story,1990,1341,1,1,2,5,171500
53504,2Story,2003,3279,3,1,4,12,538000
19138,1Story,1951,864,1,0,2,4,141000
13175,1Story,1978,2073,2,0,3,7,210000
7500,2Story,2000,1674,2,1,3,7,216000
11241,1Story,1970,1004,1,0,2,5,149000
12537,1Story,1971,1078,1,1,3,6,149900
8450,1Story,1968,1056,1,0,3,6,142000
8400,1Story,1970,882,1,0,2,4,126000
11478,1Story,2007,1704,2,0,3,7,306000
11520,1Story,2005,1698,2,0,3,7,275000
14122,1Story,2005,1822,2,0,3,8,259000
10171,1Story,2004,1535,2,0,3,7,214000
14300,1Story,2003,2696,2,1,3,10,5.00E+05
13650,2Story,2002,2250,2,1,3,7,320000
18494,1Story,2005,1324,2,0,3,6,199500
7851,2Story,2002,1960,2,1,4,8,216500
8577,2Story,2004,1733,2,1,3,7,185088
9505,2Story,2001,2035,2,1,3,8,222500
14774,2Story,1999,2599,2,1,4,10,333168
17433,2Story,1998,2475,2,1,4,7,355000
10593,1Story,1996,1720,2,0,3,7,260400
12256,2Story,1994,2622,2,1,3,9,325000
11764,2Story,1999,2270,2,1,4,9,290000
16770,2Story,1998,1839,2,1,4,7,221000
8987,1Story,2005,1595,2,0,2,6,221500
9000,1Story,2008,1566,2,0,3,7,262500
12552,2Story,2004,1947,2,1,3,8,254900
10440,1Story,2005,1468,2,0,2,6,271500
10142,2Story,2004,2084,2,1,4,8,233000
11920,2Story,2004,1659,2,1,3,8,181000
8880,2Story,1994,2110,2,1,3,8,205000
11218,2Story,1992,1845,2,1,3,8,189000
9453,2Story,1993,1744,2,1,3,7,194500
9672,1Story,1984,1097,2,0,3,6,152000
8400,2Story,1980,1564,2,1,3,7,171000
9800,1Story,1920,1012,1,0,2,5,67500
8450,1Story,1965,894,1,0,3,5,138500
9819,1Story,1967,900,1,0,3,5,122000
7500,1Story,1963,1040,1,1,3,5,133000
6897,1Story,1962,1040,1,1,3,6,127000
15410,1Story,1974,1494,2,0,3,7,169000
10186,2Story,1992,1923,2,1,3,8,190000
13143,2Story,1993,2349,2,1,4,9,362500
11134,2Story,1992,2225,2,1,4,7,285000
7379,2Story,2000,1848,2,1,3,7,254000
13517,2Story,1976,1479,2,1,3,6,130500
8000,1Story,2002,1492,2,0,3,6,230000
10456,1Story,1967,1829,2,0,4,8,218500
10791,2Story,1993,2495,2,1,4,9,243500
10603,1Story,1977,1610,2,0,3,6,205000
10421,2Story,1988,1714,2,1,3,7,196500
9360,1Story,1972,1381,1,1,3,5,197500
9600,2Story,1971,1645,1,2,4,7,171000
9600,1Story,1966,1232,1,1,3,6,142250
9790,1Story,1963,1328,1,1,3,6,143000
9320,1Story,1959,1225,1,1,3,6,128950
9680,1Story,1967,1510,2,0,3,6,178900
9717,1Story,1950,1078,1,0,2,5,142125
7207,1Story,1958,858,1,0,2,4,116500
5350,1Story,1940,1306,1,0,3,6,76500
9920,1Story,1954,1063,1,0,3,6,128000
7800,1Story,1954,1268,1,0,2,7,132000
19900,1Story,1970,2207,2,0,3,7,180000
16492,1Story,1966,1888,2,1,2,6,190000
8197,1Story,2003,1480,2,0,3,7,214000
8050,1Story,1959,1143,1,0,3,6,136000
10552,1Story,1959,1700,1,1,4,6,165500
8400,1Story,1957,1314,1,0,3,5,145000
8760,1Story,1959,1194,1,0,3,6,148000
9300,1Story,1960,1264,1,0,3,6,167500
10725,1Story,1959,1206,1,0,3,6,108538
10032,1Story,1959,1580,1,1,3,6,159500
10950,1Story,1952,1064,1,0,2,4,135000
10895,1Story,1955,972,1,0,3,5,122500
7922,1Story,1953,1057,1,0,3,5,109000
7898,1Story,1920,985,1,0,2,4,105000
7200,1Story,1955,827,1,0,2,5,107500
10200,1Story,1954,1086,1,0,3,6,144900
5868,1Story,1956,936,1,0,2,4,129000
9830,1Story,1959,1287,1,0,3,7,162000
7500,1Story,1959,1246,1,1,3,6,154000
7200,1Story,1951,900,1,0,3,5,134800
10000,1Story,1962,1116,1,1,3,5,160000
7635,1Story,1960,1175,1,1,3,6,148000
9760,1Story,1963,1395,1,0,2,7,192000
7700,2Story,1966,1839,1,1,4,7,155000
4485,1Story,1920,936,1,0,2,5,109500
8960,1Story,1927,1028,1,0,2,5,115000
5805,1Story,1957,1347,1,0,3,6,143000
5790,2Story,1915,1605,2,0,3,8,107400
4608,1Story,1945,747,1,0,2,4,80000
7200,1Story,1940,804,1,0,2,4,119000
9656,1Story,1923,832,1,0,2,5,12789
8520,1Story,1928,720,1,0,2,5,105900
9600,2Story,1900,1566,2,0,3,7,150000
9000,2Story,1890,2268,3,0,3,7,240000
7407,1Story,1957,1236,1,0,2,6,149700
7740,2Story,1910,1363,1,0,3,6,125500
10560,2Story,1922,1470,1,1,2,6,140750
5000,1Story,1925,765,1,0,2,4,87000
6120,1Story,1923,1068,1,0,2,5,109500
10300,2Story,1921,1710,2,0,3,9,140000
12900,2Story,1912,1560,1,1,3,7,159900
3068,2Story,1920,1324,1,0,3,6,122000
15263,1Story,1959,1675,2,0,3,8,173000
6449,2Story,1907,1884,1,1,4,7,93369
11341,1Story,1957,1392,1,1,3,5,121500
8521,1Story,1967,912,1,0,3,5,125000
8246,1Story,1968,1060,1,0,3,6,154000
7800,1Story,1966,892,1,0,3,5,137900
9364,2Story,1969,1352,1,1,4,7,158000
7832,1Story,1968,864,1,0,2,4,137250
11227,2Story,1968,1440,1,1,4,7,163000
11616,2Story,1978,1386,2,1,3,6,158900
14000,2Story,1996,2260,2,1,3,7,328000
20062,1Story,1977,1483,1,1,1,4,270000
9259,1Story,1927,756,1,0,2,4,85000
9600,1Story,1950,1067,2,0,2,4,128000
23595,1Story,1979,1524,0,1,0,4,260000
17082,2Story,1978,1981,2,1,4,8,230000
11479,1Story,1950,1074,1,0,3,6,144500
9571,1Story,1956,1144,1,0,3,6,129000
9525,1Story,1954,1172,1,0,3,5,128000
10420,1Story,2009,1212,2,0,3,6,186000
11100,1Story,1946,930,1,0,2,6,84900
9206,2Story,1985,1732,2,1,3,7,178000
11980,1Story,1987,1433,1,1,1,4,270000
9938,2Story,1993,1949,2,1,3,8,236000
10475,1Story,2008,1694,2,0,3,7,245350
6762,1Story,2006,1208,2,0,2,6,206000
10402,1Story,2009,1226,2,0,3,6,198900
7360,1Story,2010,1222,2,0,2,6,187000
12376,2Story,1990,3222,3,0,5,11,320000
9337,2Story,1997,1692,2,1,3,8,191000
8750,2Story,1998,1682,2,1,3,7,200500
15240,1Story,1977,1026,1,1,3,5,150000
10900,2Story,1977,1392,1,1,3,6,161750
10650,1Story,1976,894,1,0,3,5,128200
7480,1Story,1972,876,1,0,3,5,127000
10389,1Story,2003,1978,2,1,3,8,318000
11423,1Story,2001,1601,2,0,3,6,272000
9548,2Story,2003,1829,2,1,3,7,237000
9375,2Story,1997,2098,2,1,4,9,240000
12137,1Story,1998,1661,2,0,3,6,224900
10635,1Story,2003,1668,2,0,3,8,232000
8400,1Story,2004,1484,2,0,3,7,213000
8773,1Story,2004,1414,2,0,3,6,185500
10044,1Story,1968,1196,1,0,3,6,144000
6410,1Story,1958,960,1,0,3,5,90000
8546,1Story,2003,1121,2,0,2,5,140000
4853,1Story,1924,1296,2,0,2,5,104000
6858,2Story,1915,1647,1,1,4,6,128000
8212,1Story,1914,864,1,0,2,5,58500
7890,1Story,1939,856,1,0,2,4,126000
9042,2Story,1941,2340,2,0,4,9,266500
17500,1Story,1959,1902,2,0,3,7,335000
15602,1Story,1959,1801,2,0,1,6,289000
8712,1Story,1896,952,1,0,3,5,50138
11050,2Story,1998,1916,2,1,3,8,254900
9196,1Story,2003,1560,2,0,3,7,201000
57200,1Story,1948,1687,1,0,3,7,160000
11896,1Story,2008,1346,2,0,3,6,220000
9802,2Story,2006,1444,2,1,3,7,174000
11316,2Story,2002,1894,2,1,4,8,214900
14191,2Story,2002,1908,2,1,4,9,202900
13214,1Story,2008,2018,2,0,3,10,378500
15300,1Story,1965,1264,1,0,2,7,169000
10114,1Story,2004,1430,2,0,3,7,173500
11875,1Story,1999,1344,2,0,3,7,166500
26142,1Story,1962,1188,1,0,3,6,157900
12887,1Story,1984,833,1,0,2,5,149900
10475,2Story,1991,1274,1,1,3,6,136000
9892,1Story,1994,1803,2,1,3,6,285000
12961,2Story,1993,1797,2,1,3,7,231000
13008,1Story,1956,882,1,0,2,5,124500
10200,1Story,1974,1434,2,0,4,7,157000
10179,2Story,1997,1608,2,1,3,7,189500
11792,2Story,2003,2283,2,1,4,9,270000
14892,1Story,2006,1746,2,0,3,7,377500
7380,1Story,1998,1478,2,0,2,5,240000
10141,2Story,1998,1718,2,1,3,7,185000
7500,2Story,1998,1636,2,1,3,7,191000
7837,2Story,1993,1571,2,1,3,7,178000
9765,2Story,1993,1470,2,1,3,6,185000
8803,2Story,1994,1516,2,1,3,7,181316
7250,1Story,1993,1190,2,0,3,6,166000
9636,2Story,1992,1593,2,1,3,7,178000
8125,2Story,1994,1481,2,1,3,6,174000
9248,1Story,1992,1167,2,0,3,6,173000
10762,2Story,1999,1983,2,1,3,9,225000
11851,1Story,1990,1442,2,0,3,5,180500
16158,1Story,2005,1530,2,0,3,7,260000
11900,2Story,1977,1934,2,1,3,6,185000
13005,2Story,1980,2353,2,1,4,10,260000
17043,1Story,1979,1586,2,0,3,7,181000
11900,1Story,1977,1411,2,0,3,6,82500
16635,1Story,1977,1602,2,0,3,8,215000
13250,2Story,1978,2050,2,1,4,8,154000
10928,1Story,1978,1671,2,0,3,7,2.00E+05
12388,2Story,1980,2673,2,1,4,9,249000
11088,1Story,1978,1707,2,0,3,7,184000
9600,1Story,1981,2524,2,1,4,9,278000
10400,1Story,1976,1370,2,0,3,6,152000
10304,2Story,1976,1868,2,1,4,9,197500
7000,2Story,2003,1884,2,1,3,7,240900
7500,2Story,2000,1874,2,1,3,7,220000
8470,2Story,2002,1811,2,1,3,7,235000
9373,1Story,1975,1621,2,0,3,7,213000
10140,1Story,1974,1116,2,0,3,6,167900
11050,1Story,1975,1193,2,0,3,5,158000
10140,1Story,1974,1350,2,0,3,7,165000
8750,1Story,1970,1002,1,0,3,5,148500
7930,1Story,1969,1026,1,0,3,5,156000
8510,1Story,1971,1050,1,1,3,6,143000
7038,1Story,1970,864,1,0,3,5,76500
6960,1Story,1970,864,1,0,3,5,120500
8120,1Story,1970,864,1,0,3,5,124500
10500,1Story,1971,864,1,0,2,4,97000
9000,1Story,1971,864,1,0,3,5,130000
7150,1Story,1967,892,1,0,3,5,1.00E+05
10710,1Story,1966,1120,1,0,3,5,148800
12456,1Story,2006,1718,2,0,3,7,337500
14257,2Story,2007,2772,3,1,4,10,462000
15431,1Story,2008,2402,2,0,2,10,555000
13173,1Story,2006,1652,2,0,2,6,325000
14230,1Story,2007,1600,2,0,3,7,256300
11308,2Story,2008,2184,2,1,3,10,335000
12350,1Story,2008,2020,2,0,3,7,404000
13693,1Story,2007,2674,2,1,2,8,610000
11578,1Story,2008,1736,2,0,3,7,360000
16870,1Story,2004,1782,2,0,3,7,296000
23303,2Story,2007,2520,2,1,5,10,409900
11146,1Story,2006,1717,2,0,3,7,255500
9591,1Story,2004,1713,2,0,3,7,274900
10872,1Story,2006,1531,2,0,2,6,3.00E+05
13514,1Story,2008,1808,2,0,3,7,324000
8834,2Story,2004,2224,2,1,4,10,350000
11362,1Story,2004,1836,2,0,3,7,280000
10655,1Story,2003,1629,2,0,3,7,284000
12878,1Story,2003,1760,2,0,3,8,269500
13472,1Story,2003,2392,2,0,3,8,386250
15274,1Story,2003,2452,2,0,3,10,445000
13262,2Story,2003,2400,3,1,4,10,290000
9658,1Story,2006,1606,2,0,3,6,255900
14836,1Story,2004,2492,2,1,2,8,552000
15262,1Story,2003,2200,2,1,3,8,382500
16770,1Story,2002,1712,2,0,3,8,286500
10928,2Story,2005,1456,2,1,3,8,184000
8918,2Story,2005,1490,2,1,3,7,167800
12589,2Story,2005,1484,2,1,3,8,174000
11911,2Story,2005,1560,2,1,3,6,174000
7795,2Story,2004,1432,2,1,3,6,188500
7984,2Story,2004,1630,2,1,3,7,189500
10125,2Story,2004,1594,2,1,3,7,195500
8965,2Story,2003,1489,2,1,3,8,192000
8174,2Story,2003,1342,2,1,3,7,178000
8795,2Story,2000,2256,2,1,4,8,236000
12891,2Story,2002,2004,2,1,4,8,257500
12224,2Story,2000,2054,2,1,3,7,244000
8123,2Story,2000,1800,2,1,3,7,179000
8433,2Story,2000,1514,2,1,3,7,190000
15896,2Story,1999,2312,2,1,4,8,245000
24682,2Story,1999,1675,2,1,3,7,181000
8755,2Story,1999,2060,2,1,3,8,214000
9430,2Story,1999,2365,2,1,3,8,337000
15138,2Story,1995,2794,2,1,4,9,403000
12720,2Story,2000,2687,2,1,4,10,327000
16545,2Story,1998,2450,2,1,3,7,340000
12203,2Story,1998,2612,2,1,4,8,336000
10208,2Story,1996,2344,2,1,3,7,265000
10750,1Story,1994,2063,2,0,3,7,315000
9900,2Story,1993,2646,2,1,4,9,260000
9085,2Story,1995,2061,2,1,3,7,260000
11692,2Story,1993,2232,2,1,3,8,263550
46589,2Story,1994,2448,2,1,4,8,402000
29959,2Story,1994,1850,2,1,3,7,248000
11194,1Story,2008,1696,2,0,3,7,275000
10206,1Story,2008,1658,2,1,3,7,257500
10130,1Story,2007,1702,2,0,3,7,275500
9139,1Story,2006,1432,2,0,3,7,245000
9675,2Story,2005,1971,2,1,3,8,253000
11128,1Story,2005,2490,2,0,2,9,468000
9000,2Story,2008,1590,2,1,3,6,210000
8640,1Story,2008,1402,2,0,3,7,229800
12606,1Story,2007,1530,2,0,3,7,250000
7500,1Story,2006,1448,2,0,2,6,238500
11003,2Story,2008,2007,2,1,3,10,310000
10603,2Story,2006,1795,2,1,3,8,270000
10574,2Story,2005,1953,2,1,3,9,252000
8125,2Story,2006,1550,2,0,2,7,241000
10625,1Story,2006,1662,2,0,3,8,291000
9375,2Story,2003,2094,2,1,4,8,263000
7500,1Story,2004,1221,2,0,2,6,185000
8736,1Story,2003,1553,2,0,3,6,234500
8127,2Story,2003,1653,2,1,3,6,209000
9605,1Story,2007,1218,1,1,3,6,159000
7500,1Story,2006,1141,1,1,3,6,152000
7500,1Story,2004,1158,1,1,3,5,143500
10628,2Story,2004,1812,2,1,3,8,193000
10141,1Story,2004,1512,2,0,3,6,203000
10083,1Story,2003,1200,2,0,2,5,184900
13072,1Story,2004,1114,1,1,3,6,159000
13072,1Story,2004,1114,1,1,3,6,142000
12450,1Story,2003,1114,2,0,3,6,153000
11492,2Story,1996,2122,2,1,4,8,220000
8529,1Story,2001,1434,2,0,3,6,189000
7703,2Story,1992,1730,2,1,3,6,171500
9109,2Story,1994,1540,2,1,3,6,184000
10274,2Story,1986,1400,2,1,3,6,162000
9750,1Story,1962,980,1,0,3,5,110000
7064,1Story,1977,980,1,0,3,6,135000
8499,1Story,1961,864,1,0,3,5,141000
9079,1Story,1961,864,1,0,2,5,122000
7791,1Story,1963,912,1,0,3,6,129000
10000,1Story,1961,1144,1,0,3,6,131400
8281,1Story,1965,864,1,0,3,5,62383
7150,1Story,1962,912,1,0,3,6,123000
15676,1Story,1980,2014,2,0,2,6,275000
11949,2Story,1991,1755,2,1,3,7,235000
14694,1Story,1977,1694,2,0,2,5,318750
15417,1Story,1981,1740,1,1,2,7,241600
9991,1Story,1976,1620,2,0,3,8,150000
11700,2Story,1968,1556,1,1,4,8,154000
11717,1Story,1970,1442,2,0,2,6,185000
9156,1Story,1968,1489,2,0,3,7,185750
10382,2Story,1973,2090,2,1,3,7,2.00E+05
12732,2Story,1974,2067,2,1,3,7,206000
12936,2Story,1972,1395,1,1,3,6,162000
10400,2Story,1967,2640,2,1,5,8,256900
9600,1Story,1969,1336,2,0,3,6,163000
9000,1Story,1969,1216,1,0,3,5,113000
13774,2Story,1977,2288,1,2,4,8,230000
9650,1Story,1977,1334,2,0,2,6,167900
10140,1Story,1998,1680,2,0,3,7,213250
8400,2Story,2001,1665,2,1,3,6,227000
7130,1Story,1967,864,1,0,2,5,130000
9100,1Story,1965,925,1,0,2,5,117500
9790,1Story,1967,1342,2,0,3,7,161500
7436,1Story,1960,894,1,0,2,5,141500
8125,1Story,1959,864,1,0,3,5,118000
9100,1Story,1959,864,1,0,2,5,127500
9450,1Story,1957,1362,1,0,3,6,140000
13495,1Story,1956,1728,2,0,3,7,177625
10004,1Story,1964,1516,1,1,3,6,167000
9350,1Story,1961,1313,1,1,3,6,153000
11000,1Story,1966,1154,1,1,3,6,154000
8970,2Story,1965,2140,2,1,4,7,177500
9600,1Story,1959,1041,1,0,3,6,124500
9768,1Story,1955,960,1,0,2,5,122000
5330,1Story,1940,708,1,0,2,5,82500
12160,1Story,1953,1505,1,0,2,6,149500
9900,1Story,1967,1691,1,0,2,5,175000
9600,1Story,1953,1644,1,0,3,7,167000
9600,1Story,1956,1050,1,0,2,5,128900
9600,1Story,1950,1113,1,0,3,5,147000
10573,1Story,1961,1453,2,0,3,6,187500
9500,1Story,1963,1394,1,1,3,6,159000
14695,1Story,1966,1567,2,0,2,5,256000
13600,2Story,1965,1986,2,1,3,7,205000
13000,2Story,1968,2142,2,1,4,8,193500
13560,1Story,1968,1392,1,0,2,5,110000
8760,1Story,1956,1144,1,0,3,6,150000
8400,1Story,1957,1478,1,1,3,6,156500
12285,1Story,1960,1329,1,1,3,5,176000
9240,1Story,1959,988,2,0,3,6,149500
9600,1Story,1958,1632,2,0,3,6,139000
12400,1Story,1958,1215,1,0,3,6,155000
8750,1Story,1955,1382,1,0,3,6,153000
10400,1Story,1956,1200,1,0,3,6,144000
8532,1Story,1954,1297,1,0,3,5,153000
8128,1Story,1954,1062,1,0,3,6,131000
10634,1Story,1953,1319,1,0,3,5,123000
10434,1Story,1955,1005,1,0,2,5,115000
8480,1Story,1945,793,1,0,2,4,113000
7626,1Story,1952,1031,1,0,2,5,145500
11419,2Story,1948,1527,1,1,3,6,152500
9600,1Story,1950,1200,1,0,3,6,129900
8000,1Story,1948,972,1,0,2,5,132000
5470,1Story,1958,792,1,0,2,4,99900
10800,2Story,1939,1352,2,0,4,7,149000
8146,2Story,1900,1039,1,0,2,6,114000
9022,1Story,1924,792,1,0,2,5,109500
10230,1Story,1925,1078,1,0,3,6,125000
7200,2Story,1910,1690,2,0,4,5,156500
5400,1Story,1940,599,1,0,2,4,59000
10800,1Story,1920,846,1,0,2,4,106000
10800,1Story,1890,725,1,1,1,4,78500
10143,1Story,1963,1380,1,1,3,6,154000
11500,1Story,1967,1040,1,0,3,6,163000
8010,1Story,1958,951,1,0,2,6,143500
10454,1Story,1957,1105,1,0,3,5,135000
8712,1Story,1957,1306,1,0,2,5,153000
17600,1Story,1960,1478,2,0,3,6,157500
12144,1Story,1949,1268,1,0,3,6,133000
7350,1Story,1958,1041,1,0,3,6,128000
7200,1Story,1952,732,1,0,2,4,118900
7931,1Story,1959,1148,1,0,3,6,132500
7570,2Story,1964,1806,1,1,4,8,144750
7936,1Story,1963,1045,1,0,3,6,127000
6600,1Story,1962,894,1,0,2,5,109500
10440,2Story,1910,1230,1,1,2,5,110000
9900,2Story,1910,1464,2,0,3,7,129000
6406,2Story,1939,1558,1,1,3,7,150000
6600,2Story,1892,2372,2,0,4,11,107500
3378,2Story,1946,1389,1,1,3,6,135000
5925,1Story,1940,612,1,0,1,4,45000
5784,1Story,1938,886,1,0,2,4,91300
8520,1Story,1923,792,1,0,2,5,99500
9600,2Story,1910,1510,2,0,3,7,87500
11700,2Story,1880,2640,1,1,4,8,265979
8400,2Story,1900,2007,2,0,3,8,160000
3600,2Story,1917,1288,1,0,3,5,119000
17671,2Story,1882,1742,1,1,4,8,168000
3300,1Story,1910,816,1,0,2,5,58500
9000,2Story,1920,1482,1,0,3,7,143000
7200,1Story,1910,1022,1,0,2,4,85000
9720,2Story,1910,1521,1,0,4,8,146500
7879,1Story,1920,720,1,0,2,4,34900
9392,1Story,1900,797,1,0,2,5,44000
21384,2Story,1923,1576,1,1,3,6,223500
6615,1Story,1923,1432,1,0,3,6,149000
6911,1Story,1924,1301,1,0,2,5,1.00E+05
6120,1Story,1931,875,1,0,2,5,105000
6120,1Story,1925,995,1,0,2,5,115000
8635,1Story,1925,1072,1,0,2,5,126500
11414,2Story,1910,2019,1,0,3,8,167500
8094,2Story,1915,1768,2,0,3,8,155000
2500,2Story,1915,1826,1,1,4,7,155000
9928,2Story,1915,1944,2,0,3,8,179900
6876,2Story,1927,1930,2,0,4,8,149000
5775,2Story,1915,1427,1,0,3,7,123000
10020,1Story,1922,904,0,1,1,4,61000
6629,2Story,1925,1369,2,0,3,6,103600
8816,1Story,1963,1121,1,0,3,5,139000
11184,2Story,1978,1683,2,1,3,7,172500
11625,1Story,1967,1052,1,1,3,6,113500
7800,1Story,1967,899,1,0,3,5,130000
11616,1Story,1962,1092,1,0,3,6,139000
9000,1Story,1947,660,1,0,2,5,63900
25095,1Story,1968,1473,1,0,1,5,143000
17140,1Story,1956,1229,1,0,3,6,135000
12342,1Story,1940,861,1,0,1,4,82500
13680,1Story,1955,1733,2,0,4,8,139600
15635,1Story,1954,1383,1,0,2,6,122000
9571,1Story,1956,1073,1,0,2,5,121500
9350,2Story,1946,1639,1,1,3,6,154400
9340,1Story,1941,672,1,0,2,4,113000
7440,1Story,1954,1089,1,0,3,5,125000
11500,1Story,1957,845,1,0,3,5,84000
9084,2Story,1940,1510,1,0,4,7,108000
14684,1Story,1990,2196,2,0,3,7,271900
9317,2Story,1993,1775,2,1,3,7,213000
10560,2Story,1993,1879,2,1,3,8,239900
9828,2Story,1995,2020,2,1,3,8,239500
26400,2Story,1880,2016,1,0,4,7,131000
10637,1Story,2007,1718,2,0,3,7,297000
10226,1Story,2008,1630,2,0,3,8,295493
10816,1Story,2008,1720,2,0,3,8,332000
9178,1Story,2008,1468,2,0,3,6,239900
10769,2Story,2007,1768,2,1,3,7,212000
11422,1Story,2007,1838,2,0,3,7,272500
11923,1Story,2007,1800,2,0,2,7,239000
8814,1Story,2006,1604,2,1,3,8,220000
6762,1Story,2007,1290,2,0,2,6,2.00E+05
10324,1Story,2008,1254,2,0,2,5,221800
7314,1Story,2007,1232,2,0,2,6,194500
11645,1Story,2005,1498,2,0,3,7,237000
11646,2Story,2005,1422,2,1,3,7,173000
16698,2Story,1992,1759,2,1,3,7,233500
28698,2Story,1967,2126,2,1,3,7,185000
12464,1Story,1996,1040,1,0,3,6,152000
9757,1Story,1994,990,1,0,3,5,143000
15426,2Story,1997,1764,2,1,3,7,231500
14753,1Story,1998,1463,2,0,3,5,207000
10859,1Story,1994,1097,1,1,3,6,145000
8072,1Story,1994,990,1,0,3,5,138000
10400,2Story,1998,1779,2,1,3,6,197900
10335,1Story,1999,1501,2,0,3,6,204000
9017,1Story,1999,1431,2,0,3,6,192000
8750,2Story,1998,1772,2,1,3,7,2.00E+05
8935,2Story,2002,1660,2,1,3,7,195000
9808,1Story,2002,1573,2,0,3,6,227000
12420,2Story,2001,1840,2,1,3,6,230000
16285,1Story,2001,1430,2,0,3,6,187100
10739,1Story,2002,1444,2,0,3,6,203000
11166,1Story,2001,1492,2,0,3,6,201000
8430,1Story,1978,1040,2,0,3,5,124000
16269,1Story,1978,907,1,0,3,5,140000
6950,1Story,1979,914,1,0,2,5,134900
8800,1Story,1977,1040,2,0,3,5,150500
7000,1Story,1978,864,1,0,3,6,136500
9286,1Story,1977,1268,1,1,3,5,143500
15523,1Story,1972,864,1,0,3,5,133500
7200,1Story,1972,894,1,0,2,6,123000
11664,1Story,2002,1611,2,0,3,6,250000
12334,2Story,2003,2184,2,1,4,8,254750
11838,1Story,2001,1788,2,0,3,7,236500
11885,2Story,2001,1872,2,1,3,7,261500
11050,2Story,2000,2153,2,1,3,8,313000
8749,2Story,2002,1725,2,1,3,6,198500
11250,2Story,2001,1870,2,1,3,6,211000
15750,1Story,1999,1513,2,0,2,5,220000
11883,1Story,1996,1504,2,0,3,6,203000
12782,1Story,2002,1828,2,0,3,7,279500
8750,1Story,1997,1417,2,0,3,7,210000
9375,2Story,1997,2034,2,1,3,8,219500
8750,2Story,1996,1716,2,1,2,7,191000
9100,1Story,2001,1212,2,0,3,6,178000
9750,1Story,2000,1630,2,0,3,6,213000
10200,1Story,2007,1602,2,0,3,7,293200
9313,2Story,2004,1728,2,1,3,7,190000
8487,1Story,2004,1500,2,0,3,6,190000
8633,2Story,2005,1476,2,1,3,7,173500
11069,2Story,2007,1396,2,1,3,6,170000
8777,1Story,1949,1126,2,0,2,5,108000
9937,1Story,1964,1486,1,0,3,7,167000
8877,1Story,1938,816,1,0,2,3,1.00E+05
7950,2Story,1977,1426,1,1,3,6,159500
13286,1Story,2007,1698,2,0,3,8,320000
